"disease","year","age","country","country_name","cohort_size","cases","dalys","deaths","YLL"
"YF",2000,0,"AGO","AGO",1344299.5,27.6,495.58,10.76,495.4
"YF",2000,1,"AGO","AGO",1240793,26.52,531.79,10.34,531.62
"YF",2000,2,"AGO","AGO",1171726,26.16,524.57,10.2,524.4
"YF",2000,3,"AGO","AGO",1119033.5,25.8,517.35,10.06,517.19
"YF",2000,4,"AGO","AGO",1074439,25.32,507.73,9.87,507.56
"YF",2000,5,"AGO","AGO",1035312,24.72,510.36,9.64,510.2
"YF",2000,6,"AGO","AGO",999960,23.88,493.02,9.31,492.86
"YF",2000,7,"AGO","AGO",968166.5,23.16,478.15,9.03,478
"YF",2000,8,"AGO","AGO",938882,22.2,458.33,8.66,458.19
"YF",2000,9,"AGO","AGO",909331,21.36,440.99,8.33,440.85
"YF",2000,10,"AGO","AGO",879203.5,20.28,392.48,7.91,392.35
"YF",2000,11,"AGO","AGO",848935,19.32,373.9,7.53,373.77
"YF",2000,12,"AGO","AGO",818590.5,18.24,353,7.11,352.88
"YF",2000,13,"AGO","AGO",788426,17.28,334.42,6.74,334.31
"YF",2000,14,"AGO","AGO",757799.5,16.32,315.84,6.36,315.73
"YF",2000,15,"AGO","AGO",726313,15.48,275.12,6.04,275.02
"YF",2000,16,"AGO","AGO",694992.5,14.64,260.19,5.71,260.1
"YF",2000,17,"AGO","AGO",665603,13.92,247.4,5.43,247.31
"YF",2000,18,"AGO","AGO",638428,13.2,234.6,5.15,234.52
"YF",2000,19,"AGO","AGO",612692.5,12.6,223.94,4.91,223.86
"YF",2000,20,"AGO","AGO",588345,12.12,196.96,4.73,196.88
"YF",2000,21,"AGO","AGO",565396,11.64,189.16,4.54,189.08
"YF",2000,22,"AGO","AGO",543834.5,11.16,181.36,4.35,181.28
"YF",2000,23,"AGO","AGO",523586,10.68,173.55,4.17,173.49
"YF",2000,24,"AGO","AGO",504221.5,10.32,167.7,4.02,167.64
"YF",2000,25,"AGO","AGO",485558.5,9.96,148.08,3.88,148.02
"YF",2000,26,"AGO","AGO",467541.5,9.6,142.73,3.74,142.67
"YF",2000,27,"AGO","AGO",450919.5,9.24,137.38,3.6,137.32
"YF",2000,28,"AGO","AGO",437450,8.88,132.03,3.46,131.97
"YF",2000,29,"AGO","AGO",427071.5,8.64,128.46,3.37,128.4
"YF",2000,30,"AGO","AGO",417500,8.4,113.5,3.28,113.45
"YF",2000,31,"AGO","AGO",407470,8.28,111.88,3.23,111.83
"YF",2000,32,"AGO","AGO",397134,8.04,108.64,3.14,108.59
"YF",2000,33,"AGO","AGO",386575,7.8,105.4,3.04,105.35
"YF",2000,34,"AGO","AGO",375664,7.56,102.15,2.95,102.1
"YF",2000,35,"AGO","AGO",364358.5,7.32,88.98,2.85,88.93
"YF",2000,36,"AGO","AGO",352622.5,7.08,86.06,2.76,86.01
"YF",2000,37,"AGO","AGO",340298.5,6.84,83.14,2.67,83.1
"YF",2000,38,"AGO","AGO",327113.5,6.6,80.22,2.57,80.18
"YF",2000,39,"AGO","AGO",313223.5,6.36,77.31,2.48,77.27
"YF",2000,40,"AGO","AGO",299357,6.12,66.18,2.39,66.14
"YF",2000,41,"AGO","AGO",285721.5,5.76,62.29,2.25,62.25
"YF",2000,42,"AGO","AGO",272163,5.52,59.69,2.15,59.66
"YF",2000,43,"AGO","AGO",258709,5.28,57.1,2.06,57.06
"YF",2000,44,"AGO","AGO",245399.5,4.92,53.2,1.92,53.17
"YF",2000,45,"AGO","AGO",232293.5,4.68,44.36,1.83,44.33
"YF",2000,46,"AGO","AGO",219493.5,4.44,42.08,1.73,42.06
"YF",2000,47,"AGO","AGO",207100.5,4.2,39.81,1.64,39.78
"YF",2000,48,"AGO","AGO",195589.5,3.96,37.53,1.54,37.51
"YF",2000,49,"AGO","AGO",183116,3.72,35.26,1.45,35.24
